,Country,n_channels,ave_video_views,sum_video_views,sum_uploads,n_channels_pct,ave_n_subscribers,sum_n_subscribers,total_earning,upload_subscriber_conversion,ave_earning_per_1000views,Population,channel_per_10million_ppl,unemployment_rate,Urban_population,urban_pct,ave_subscribers_for_last_30_days,gross_higher_ed_pct,Abbreviation,Alpha_3_code
36,Peru,1,1629801448.0,1629801448.0,399,0.0011695906432748538,14400000.0,14400000,229950.0,36090.22556390977,0.14,32510453.0,0.31,3.31,25390339.0,0.7809900095824565,,70.7,PE,PER
37,Morocco,1,4315486422.0,4315486422.0,176,0.0011695906432748538,14500000.0,14500000,10519850.0,82386.36363636363,2.44,36910560.0,0.27,9.02,22975026.0,0.6224512984901882,,35.9,MA,MAR
38,Malaysia,1,9059696049.0,9059696049.0,1716,0.0011695906432748538,17700000.0,17700000,42372400.0,10314.685314685315,4.68,32447385.0,0.31,3.32,24475766.0,0.7543216810846236,200000.0,45.1,MY,MYS
39,Kuwait,1,4521573939.0,4521573939.0,641,0.0011695906432748538,30500000.0,30500000,28257950.0,47581.903276131045,6.25,4207083.0,2.38,2.18,4207083.0,1.0,1300000.0,54.4,KW,KWT
40,Finland,1,2036408398.0,2036408398.0,172,0.0011695906432748538,13200000.0,13200000,3116400.0,76744.18604651163,1.53,5520314.0,1.81,6.59,4716888.0,0.8544600904948523,,88.2,FI,FIN
41,El Salvador,1,10323391593.0,10323391593.0,543,0.0011695906432748538,46100000.0,46100000,10209000.0,84898.71086556169,0.99,6453553.0,1.55,4.11,4694702.0,0.7274600518505078,200000.0,29.4,SV,SLV
42,Cuba,1,22936630813.0,22936630813.0,1,0.0011695906432748538,46300000.0,46300000,44.88,46300000.0,0.0,11333483.0,0.88,1.64,8739135.0,0.7710899641354736,10.0,41.4,CU,CUB
43,China,1,2977741577.0,2977741577.0,128,0.0011695906432748538,17600000.0,17600000,3501300.0,137500.0,1.18,1397715000.0,0.01,4.32,842933962.0,0.6030799998569093,100000.0,50.6,CN,CHN
44,Barbados,1,22477745835.0,22477745835.0,84,0.0011695906432748538,41900000.0,41900000,84139200.0,498809.5238095238,3.74,287025.0,34.84,10.33,89431.0,0.31157913073774063,100000.0,65.4,BB,BRB
45,Bangladesh,1,12129583055.0,12129583055.0,6,0.0011695906432748538,13900000.0,13900000,0.05,2316666.6666666665,0.0,167310838.0,0.06,4.19,60987417.0,0.36451563884940913,,20.6,BD,BGD
46,Latvia,1,20919403720.0,20919403720.0,1935,0.0011695906432748538,20200000.0,20200000,95250000.0,10439.276485788114,4.55,1912789.0,5.23,6.52,1304943.0,0.6822200462256945,1200000.0,88.1,LV,LVA
